Peak from 3005 to 3010, duration: 5, core average: 233609
Peak from 1827 to 1832, duration: 5, core average: 233607
Peak from 823 to 825, duration: 2, core average: 224655
Peak from 1828 to 1832, duration: 4, core average: 222416
Peak from 3006 to 3010, duration: 4, core average: 220651
Peak from 835 to 837, duration: 2, core average: 218758
Peak from 1226 to 1229, duration: 3, core average: 217720
Peak from 1136 to 1144, duration: 8, core average: 214373
Peak from 1135 to 1144, duration: 9, core average: 214314
Peak from 1134 to 1144, duration: 10, core average: 213305
Peak from 1137 to 1144, duration: 7, core average: 213214
Peak from 1133 to 1144, duration: 11, core average: 211362
Peak from 828 to 830, duration: 2, core average: 210743
Peak from 1307 to 1309, duration: 2, core average: 210613
Peak from 1138 to 1144, duration: 6, core average: 210412
Peak from 1059 to 1061, duration: 2, core average: 209732
Peak from 1418 to 1420, duration: 2, core average: 209717
Peak from 1132 to 1144, duration: 12, core average: 208892
Peak from 2411 to 2415, duration: 4, core average: 206380
Peak from 1707 to 1714, duration: 7, core average: 205304
Peak from 1139 to 1144, duration: 5, core average: 204411
Peak from 1706 to 1714, duration: 8, core average: 204159
Peak from 1708 to 1714, duration: 6, core average: 203142
Peak from 1705 to 1714, duration: 9, core average: 200554
Peak from 1829 to 1832, duration: 3, core average: 199577
Peak from 1901 to 1904, duration: 3, core average: 198857
Peak from 1253 to 1256, duration: 3, core average: 198111
Peak from 3007 to 3010, duration: 3, core average: 197817
Peak from 1070 to 1072, duration: 2, core average: 196582
Peak from 2472 to 2474, duration: 2, core average: 196520
Peak from 3065 to 3067, duration: 2, core average: 196517
Peak from 1709 to 1714, duration: 5, core average: 196514
Peak from 2469 to 2471, duration: 2, core average: 196171
Peak from 2466 to 2468, duration: 2, core average: 195786
Peak from 2412 to 2415, duration: 3, core average: 194421
Peak from 2460 to 2462, duration: 2, core average: 194299
Peak from 804 to 806, duration: 2, core average: 193461
Peak from 783 to 789, duration: 6, core average: 193264
Peak from 1140 to 1144, duration: 4, core average: 192480
Peak from 1290 to 1292, duration: 2, core average: 190291
Peak from 782 to 789, duration: 7, core average: 189669
Peak from 3555 to 3557, duration: 2, core average: 189610
Peak from 3456 to 3460, duration: 4, core average: 188499
Peak from 1156 to 1159, duration: 3, core average: 188109
Peak from 784 to 789, duration: 5, core average: 187912
Peak from 1710 to 1714, duration: 4, core average: 184590
Peak from 3457 to 3460, duration: 3, core average: 181934
Peak from 2861 to 2871, duration: 10, core average: 181614
Peak from 2862 to 2871, duration: 9, core average: 181391
Peak from 2860 to 2871, duration: 11, core average: 181351
Peak from 1365 to 1367, duration: 2, core average: 181158
Peak from 2859 to 2871, duration: 12, core average: 180760
Peak from 2863 to 2871, duration: 8, core average: 180538
Peak from 2858 to 2871, duration: 13, core average: 179893
Peak from 2857 to 2871, duration: 14, core average: 179002
Peak from 2864 to 2871, duration: 7, core average: 178928
Peak from 785 to 789, duration: 4, core average: 178294
Peak from 2856 to 2871, duration: 15, core average: 177905
Peak from 2855 to 2871, duration: 16, core average: 176771
Peak from 2865 to 2871, duration: 6, core average: 175769
Peak from 2854 to 2871, duration: 17, core average: 175521
Peak from 2853 to 2871, duration: 18, core average: 174314
Peak from 2852 to 2871, duration: 19, core average: 173040
Peak from 1141 to 1144, duration: 3, core average: 171836
Peak from 2851 to 2871, duration: 20, core average: 171789
Peak from 2850 to 2871, duration: 21, core average: 170437
Peak from 2866 to 2871, duration: 5, core average: 170383
Peak from 810 to 812, duration: 2, core average: 170372
Peak from 2849 to 2871, duration: 22, core average: 169059
Peak from 1630 to 1639, duration: 9, core average: 168168
Peak from 1631 to 1639, duration: 8, core average: 167965
Peak from 1629 to 1639, duration: 10, core average: 167854
Peak from 2848 to 2871, duration: 23, core average: 167707
Peak from 816 to 818, duration: 2, core average: 167148
Peak from 1632 to 1639, duration: 7, core average: 167125
Peak from 1628 to 1639, duration: 11, core average: 167052
Peak from 2847 to 2871, duration: 24, core average: 166383
Peak from 1627 to 1639, duration: 12, core average: 166184
Peak from 2846 to 2871, duration: 25, core average: 165147
Peak from 1626 to 1639, duration: 13, core average: 165115
Peak from 1633 to 1639, duration: 6, core average: 164854
Peak from 1711 to 1714, duration: 3, core average: 164212
Peak from 1625 to 1639, duration: 14, core average: 163878
Peak from 1227 to 1229, duration: 2, core average: 163372
Peak from 702 to 705, duration: 3, core average: 163168
Peak from 1624 to 1639, duration: 15, core average: 162564
Peak from 2867 to 2871, duration: 4, core average: 161544
Peak from 786 to 789, duration: 3, core average: 161438
Peak from 1623 to 1639, duration: 16, core average: 160973
Peak from 1634 to 1639, duration: 5, core average: 160454
Peak from 1622 to 1639, duration: 17, core average: 159322
Peak from 1621 to 1639, duration: 18, core average: 157437
Peak from 1620 to 1639, duration: 19, core average: 155382
Peak from 1635 to 1639, duration: 4, core average: 151886
Peak from 1157 to 1159, duration: 2, core average: 151051
Peak from 1839 to 1841, duration: 2, core average: 150326
Peak from 1830 to 1832, duration: 2, core average: 149847
Peak from 3008 to 3010, duration: 2, core average: 149555
Peak from 2413 to 2415, duration: 2, core average: 149369
Peak from 1902 to 1904, duration: 2, core average: 149169
Peak from 1254 to 1256, duration: 2, core average: 148673
Peak from 3366 to 3371, duration: 5, core average: 147780
Peak from 3365 to 3371, duration: 6, core average: 146770
Peak from 747 to 759, duration: 12, core average: 146761
Peak from 3458 to 3460, duration: 2, core average: 146738
Peak from 748 to 759, duration: 11, core average: 146137
Peak from 749 to 759, duration: 10, core average: 145363
Peak from 3367 to 3371, duration: 4, core average: 145316
Peak from 2868 to 2871, duration: 3, core average: 145043
Peak from 750 to 759, duration: 9, core average: 144364
Peak from 751 to 759, duration: 8, core average: 142781
Peak from 3368 to 3371, duration: 3, core average: 140538
Peak from 752 to 759, duration: 7, core average: 140448
Peak from 3364 to 3371, duration: 7, core average: 140245
Peak from 2799 to 2806, duration: 7, core average: 137218
Peak from 2800 to 2806, duration: 6, core average: 137212
Peak from 753 to 759, duration: 6, core average: 137050
Peak from 2798 to 2806, duration: 8, core average: 136190
Peak from 2801 to 2806, duration: 5, core average: 135879
Peak from 1636 to 1639, duration: 3, core average: 135785
Peak from 2797 to 2806, duration: 9, core average: 134855
Peak from 703 to 705, duration: 2, core average: 134021
Peak from 2796 to 2806, duration: 10, core average: 133386
Peak from 2802 to 2806, duration: 4, core average: 132397
Peak from 754 to 759, duration: 5, core average: 132037
Peak from 2307 to 2311, duration: 4, core average: 131895
Peak from 2795 to 2806, duration: 11, core average: 131799
Peak from 768 to 771, duration: 3, core average: 131754
Peak from 2794 to 2806, duration: 12, core average: 130211
Peak from 1142 to 1144, duration: 2, core average: 129196
Peak from 2793 to 2806, duration: 13, core average: 128713
Peak from 2308 to 2311, duration: 3, core average: 128692
Peak from 787 to 789, duration: 2, core average: 124852
Peak from 755 to 759, duration: 4, core average: 124233
Peak from 1712 to 1714, duration: 2, core average: 123269
Peak from 2803 to 2806, duration: 3, core average: 121571
Peak from 3369 to 3371, duration: 2, core average: 119861
Peak from 756 to 759, duration: 3, core average: 110886
Peak from 590 to 593, duration: 3, core average: 109647
Peak from 2869 to 2871, duration: 2, core average: 109557
Peak from 769 to 771, duration: 2, core average: 108749
Peak from 1753 to 1755, duration: 2, core average: 106912
Peak from 723 to 726, duration: 3, core average: 105581
Peak from 516 to 519, duration: 3, core average: 104845
Peak from 1653 to 1655, duration: 2, core average: 103213
Peak from 1637 to 1639, duration: 2, core average: 102049
Peak from 2309 to 2311, duration: 2, core average: 100451
Peak from 686 to 689, duration: 3, core average: 95708
Peak from 591 to 593, duration: 2, core average: 94136
Peak from 623 to 626, duration: 3, core average: 93633
Peak from 2258 to 2264, duration: 6, core average: 92908
Peak from 2804 to 2806, duration: 2, core average: 92855
Peak from 517 to 519, duration: 2, core average: 92687
Peak from 2257 to 2264, duration: 7, core average: 92636
Peak from 515 to 519, duration: 4, core average: 91902
Peak from 2256 to 2264, duration: 8, core average: 91352
Peak from 2259 to 2264, duration: 5, core average: 90230
Peak from 2255 to 2264, duration: 9, core average: 89554
Peak from 624 to 626, duration: 2, core average: 88050
Peak from 2254 to 2264, duration: 10, core average: 87035
Peak from 2260 to 2264, duration: 4, core average: 84785
Peak from 757 to 759, duration: 2, core average: 83481
Peak from 622 to 626, duration: 4, core average: 83233
Peak from 687 to 689, duration: 2, core average: 81379
Peak from 2253 to 2264, duration: 11, core average: 80658
Peak from 724 to 726, duration: 2, core average: 79751
Peak from 2261 to 2264, duration: 3, core average: 75601
Peak from 3769 to 3771, duration: 2, core average: 68926
Peak from 560 to 562, duration: 2, core average: 58641
Peak from 489 to 492, duration: 3, core average: 58225
Peak from 2262 to 2264, duration: 2, core average: 56732
Peak from 490 to 492, duration: 2, core average: 53481
