j_1014238,14,2992
j_1014431,2,3
j_1014433,3,3
j_1014438,6,29
j_1014681,8,36
j_1014685,7,11
j_1014775,1,1
j_1014867,1,1
j_1015095,1,2
j_101542,1,287
j_1015427,2,2
j_1015455,8,9116
j_1015480,7,1007
j_1015632,1,3
j_1015639,3,3
j_1015678,1,3
j_1015879,3,570
j_1016127,1,1
j_1016129,4,6
j_1016245,1,2
j_1016488,11,257
j_1016489,4,2967
j_1016543,3,3
j_1017128,4,569
j_1017193,10,570
j_1017230,1,1
j_1017283,1,650
j_101734,1,4
j_1017604,1,9
j_1017613,8,10
j_1017746,1,7
j_1018089,2,15
j_1018091,1,1
j_1018092,7,1175
j_1018111,1,1
j_1018127,4,119
j_101814,1,1
j_1018198,6,1310
j_1018235,4,4
j_1018330,6,1044
j_1018359,5,7
j_101845,7,58
j_1018467,0,1
j_1018669,1,3
j_1018805,1,19
j_101885,3,4
j_101906,4,6
j_1019116,1,2
j_1019131,1,3
j_1019336,1,1
j_1019399,1,13
j_1019536,10,37
j_1019771,1,4
j_1019813,1,11
j_1019846,1,1
j_1019884,12,24
j_1019967,1,1
j_1020032,2,14
j_1020041,1,2
j_1020185,2,2
j_1020251,1,1
j_1020358,1,1
j_1020410,12,189
j_1020437,2,2
j_1020439,4,4
j_1020785,5,661
j_1020924,7,14
j_1021025,5,5
j_1021229,3,3
j_1021333,3,3
j_1021342,2,2
j_1021542,2,56
j_1021599,1,11
j_1021610,1,1
j_1021800,1,2
j_1021811,7,13
j_1021839,1,2
j_1022210,1,115
j_1022211,2,58
j_1022238,1,5
j_1022278,1,115
j_1022425,3,3
j_1022523,12,1336
j_1022643,1,2
j_1022645,2,735
j_1022699,5,7
j_1022831,1,1
j_1023009,2,35
j_1023307,2,5
j_1023623,1,1
j_1023691,1,22
j_1024145,1,1
j_1024212,4,4
j_1024268,3,3
j_1024285,12,1227
j_1024288,1,2
j_1024337,6,34
j_1024529,2,2
j_1024594,6,19
j_10249,1,19
j_1024989,1,2
j_1025016,4,452
j_1025222,3,3
j_1025280,2,2
j_1025446,6,178
j_1025546,0,1
j_1025553,12,3762
j_1025702,1,15
j_1025803,1,2
j_1025869,1,1
j_1025959,1,8
j_1025961,1,5
j_1025969,7,15
j_1026133,1,1
j_1026172,1,2
j_1026216,1,3
j_1026378,1,22
j_1026551,4,2700
j_102662,11,45
j_1026725,1,1
j_1027275,1,1
j_102741,1,13
j_1027423,1,1
j_1027575,2,56
j_1027859,2,56
j_1027986,3,3
j_1028091,5,187
j_1028225,1,3
j_1028314,3,80
j_1028564,2,2
j_1028830,2,2
j_10289,4,4
j_1029091,1,448
j_102927,7,28
j_1029270,1,47
j_1029329,2,2
j_1029872,3,3
j_1029954,3,3
j_1030381,4,6
j_103062,1,114
j_1030792,5,5
j_1030875,3,3
j_1031065,2,292
