Peak from 122525 to 122535, duration: 10, core average: 5664978
Peak from 117399 to 117403, duration: 4, core average: 5663731
Peak from 116339 to 116344, duration: 5, core average: 5660390
Peak from 115538 to 115541, duration: 3, core average: 5659266
Peak from 116874 to 116878, duration: 4, core average: 5658648
Peak from 122526 to 122535, duration: 9, core average: 5650746
Peak from 118032 to 118040, duration: 8, core average: 5643304
Peak from 116207 to 116210, duration: 3, core average: 5642149
Peak from 116512 to 116517, duration: 5, core average: 5642045
Peak from 120367 to 120374, duration: 7, core average: 5641447
Peak from 117958 to 117962, duration: 4, core average: 5631850
Peak from 115898 to 115902, duration: 4, core average: 5630532
Peak from 116441 to 116447, duration: 6, core average: 5630026
Peak from 115620 to 115624, duration: 4, core average: 5629486
Peak from 116452 to 116458, duration: 6, core average: 5629414
Peak from 116519 to 116523, duration: 4, core average: 5626890
Peak from 120532 to 120541, duration: 9, core average: 5625041
Peak from 115626 to 115630, duration: 4, core average: 5623740
Peak from 115089 to 115095, duration: 6, core average: 5617833
Peak from 113115 to 113119, duration: 4, core average: 5616438
Peak from 116809 to 116814, duration: 5, core average: 5616297
Peak from 115374 to 115376, duration: 2, core average: 5611046
Peak from 122527 to 122535, duration: 8, core average: 5603139
Peak from 122575 to 122578, duration: 3, core average: 5602729
Peak from 117539 to 117545, duration: 6, core average: 5600663
Peak from 122567 to 122571, duration: 4, core average: 5600563
Peak from 117547 to 117551, duration: 4, core average: 5599597
Peak from 119235 to 119245, duration: 10, core average: 5599224
Peak from 115976 to 115980, duration: 4, core average: 5598438
Peak from 112855 to 112861, duration: 6, core average: 5598223
Peak from 117300 to 117304, duration: 4, core average: 5597165
Peak from 112905 to 112909, duration: 4, core average: 5595636
Peak from 119236 to 119245, duration: 9, core average: 5595473
Peak from 117883 to 117897, duration: 14, core average: 5592608
Peak from 115724 to 115728, duration: 4, core average: 5590773
Peak from 120714 to 120722, duration: 8, core average: 5588964
Peak from 117884 to 117897, duration: 13, core average: 5586479
Peak from 115307 to 115309, duration: 2, core average: 5586462
Peak from 117885 to 117897, duration: 12, core average: 5578107
Peak from 116175 to 116180, duration: 5, core average: 5576074
Peak from 115557 to 115560, duration: 3, core average: 5571925
Peak from 122712 to 122717, duration: 5, core average: 5571114
Peak from 115998 to 116002, duration: 4, core average: 5569876
Peak from 117886 to 117897, duration: 11, core average: 5567616
Peak from 115641 to 115645, duration: 4, core average: 5566754
Peak from 117291 to 117296, duration: 5, core average: 5565054
Peak from 119237 to 119245, duration: 8, core average: 5561614
Peak from 116143 to 116147, duration: 4, core average: 5558220
Peak from 116114 to 116118, duration: 4, core average: 5556752
Peak from 120533 to 120541, duration: 8, core average: 5555648
Peak from 116275 to 116279, duration: 4, core average: 5555504
Peak from 112878 to 112883, duration: 5, core average: 5551959
Peak from 118033 to 118040, duration: 7, core average: 5550064
Peak from 120035 to 120039, duration: 4, core average: 5549655
Peak from 117447 to 117452, duration: 5, core average: 5548310
Peak from 117887 to 117897, duration: 10, core average: 5542455
Peak from 115681 to 115684, duration: 3, core average: 5540177
Peak from 122022 to 122027, duration: 5, core average: 5533934
Peak from 120407 to 120410, duration: 3, core average: 5529435
Peak from 117560 to 117564, duration: 4, core average: 5528489
Peak from 122528 to 122535, duration: 7, core average: 5527616
Peak from 115742 to 115745, duration: 3, core average: 5522396
Peak from 117615 to 117619, duration: 4, core average: 5521942
Peak from 116318 to 116323, duration: 5, core average: 5517714
Peak from 116953 to 116957, duration: 4, core average: 5517065
Peak from 120581 to 120590, duration: 9, core average: 5517032
Peak from 116069 to 116073, duration: 4, core average: 5516945
Peak from 120368 to 120374, duration: 6, core average: 5512622
Peak from 117888 to 117897, duration: 9, core average: 5510147
Peak from 120715 to 120722, duration: 7, core average: 5508666
Peak from 115405 to 115407, duration: 2, core average: 5507249
Peak from 117357 to 117361, duration: 4, core average: 5506908
Peak from 119238 to 119245, duration: 7, core average: 5506796
Peak from 117202 to 117208, duration: 6, core average: 5497439
Peak from 116472 to 116477, duration: 5, core average: 5492449
Peak from 115411 to 115413, duration: 2, core average: 5492049
Peak from 116840 to 116845, duration: 5, core average: 5490524
Peak from 115892 to 115896, duration: 4, core average: 5487888
Peak from 115395 to 115397, duration: 2, core average: 5485520
Peak from 117457 to 117461, duration: 4, core average: 5483924
Peak from 121361 to 121365, duration: 4, core average: 5480228
Peak from 115361 to 115363, duration: 2, core average: 5470567
Peak from 116292 to 116296, duration: 4, core average: 5469635
Peak from 117889 to 117897, duration: 8, core average: 5468650
Peak from 117372 to 117375, duration: 3, core average: 5466475
Peak from 120534 to 120541, duration: 7, core average: 5465412
Peak from 117597 to 117601, duration: 4, core average: 5461308
Peak from 118272 to 118277, duration: 5, core average: 5459249
Peak from 116600 to 116603, duration: 3, core average: 5457408
Peak from 113001 to 113005, duration: 4, core average: 5449526
Peak from 120582 to 120590, duration: 8, core average: 5445894
Peak from 119664 to 119668, duration: 4, core average: 5445655
Peak from 118256 to 118260, duration: 4, core average: 5440068
Peak from 117985 to 117989, duration: 4, core average: 5436018
Peak from 116592 to 116595, duration: 3, core average: 5434031
