j_1299068,12,47
j_1301532,14,167
j_1312032,11,56
j_1315633,12,23
j_1318594,12,12
j_1319425,12,12
j_1319521,10,882
j_1323221,13,1151
j_1323524,10,37
j_132653,10,1336
j_1327958,12,25
j_132811,12,20
j_1330320,12,12
j_1331854,13,122
j_1340386,14,12657
j_1342943,10,44
j_1343559,14,3774
j_134986,13,1575
j_1352972,15,943
j_1354110,12,1600
j_1358010,15,30
j_1360473,11,17
j_1361520,13,364
j_1363470,10,168
j_1363735,11,314
j_1369234,10,112
j_1371130,12,25
j_1372041,10,14
j_1375684,13,61
j_1385270,12,490
j_1388843,13,428
j_1391116,14,9172
j_139129,11,14385
j_1391672,12,26
j_1391832,14,3688
j_1394833,11,182
j_1398337,10,252
j_1398408,10,132
j_1402802,10,10
j_1405573,12,14
j_1406699,12,756
j_14075,14,3444
j_1408455,12,1227
j_1409205,10,15
j_1415113,12,35
j_1415485,11,391
j_1419674,15,378
j_141978,15,1217
j_1428360,11,81
j_1432246,12,341
j_1436569,12,17
j_1441771,12,14
j_1442831,12,90
j_1444171,10,108
j_1450727,13,45
j_145378,11,62
j_145381,10,53
j_1460992,11,11
j_1463415,15,1267
j_1463718,12,12
j_1466779,15,50
j_1473792,11,45
j_1474736,11,14385
j_1477247,12,12975
j_1477526,13,954
j_147911,10,106
j_1479392,10,10
j_1482224,14,46
j_1485608,10,54
j_1493420,12,20
j_1493868,10,252
j_1496348,13,55
j_1507497,12,47
j_1510721,13,393
j_1510888,10,18
j_1517804,11,164
j_1518599,11,14385
j_152277,12,718
j_1523776,11,15
j_15242,14,3536
j_1524577,15,39
j_1524663,13,883
j_1528338,11,14385
j_1529519,10,18
j_1529624,13,26
j_1535926,13,20
j_153713,10,108
j_1538104,12,26
j_1540723,14,74
j_1542600,14,25840
j_1546684,14,18003
j_1548894,14,40
j_1550282,12,24
j_1550299,10,523
j_1554086,15,943
j_1555336,11,743
j_1556198,14,74
j_1557191,10,18
j_1562933,12,26
j_157035,10,110
j_1571135,12,697
j_1575533,11,178
j_1579321,14,3824
j_158063,10,141
j_1581671,12,384
j_1584988,11,314
j_1585031,12,12
j_1585178,11,173
j_1585273,14,751
j_1593987,12,300
j_1596056,12,17
j_159658,15,41
j_159832,12,177
j_15985,11,407
j_1599735,13,376
j_1600111,12,25
j_1601307,10,882
j_160200,12,12997
j_160331,14,8142
j_1605678,12,3852
j_160607,11,14385
j_1606497,11,15
j_1613008,15,27
j_1613138,12,12
j_1614462,15,731
