J15_3_14,2572,13,0
J15_3_4_14,20202,1574,393
J15_3_5_7_14,5938,1097,84
J15_3_7_13_14,972,62,0
J15_4_11_12_13_14,1155,165,0
J15_4_14,4187,186,22
J15_4_5_14,138973,1132,605
J15_4_8_14,647,2,0
J15_5_14,1888,31,0
J15_5_6_8_10_11_12_13_14,9004,594,297
J15_5_8_10_11_14,73129,1588,480
J15_6_14,92749,1497,465
J15_7_14,18773,561,2
J15_7_8_9_12_13_14,48233,315,8
J15_9_10_13_14,7040,71,4
J16_10_11_15,5714,49,0
J16_10_15,1400788,4097,1823
J16_11_15,39318,5,1
J16_13_14_15,6936,419,33
J16_14_15,26655,1585,263
J16_15_25,8867,486,60
J16_15_45,1430,833,84
J16_1_15,3660,113,7
J16_1_2_15,51535,641,39
J16_1_2_3_15,2178,29,0
J16_2_15,8734,351,37
J16_2_3_15,21080,184,17
J16_2_3_5_9_15,659,96,2
J16_2_4_8_15,4156,2222,138
J16_3_15,5902,302,135
J16_3_4_7_14_15,8579,2036,89
J16_3_5_7_15,5152,1111,101
J16_3_6_7_13_15,6233,613,210
J16_4_5_7_10_15,808,289,0
J16_4_6_15,53481,321,11
J16_4_6_7_8_9_10_11_12_13_14_15,1458,46,5
J16_6_15,10496,614,199
J16_6_7_8_15,101364,2688,132
J16_6_8_13_14_15,143384,2283,81
J16_7_9_11_12_13_15,878,75,4
J16_8_15,10863,199,0
J16_8_9_12_15,87832,590,70
J16_8_9_15,22576,333,10
J16_9_10_11_15,14563,3333,562
J17_10_16,978,1111,11
J17_11_12_15_16,306460,36963,4259
J17_11_13_16,4140,54,2
J17_12_13_14_15_16,21967,1004,96
J17_14_16,576,29,15
J17_15_16,47734,2531,352
J17_16_25,66166,1028,92
J17_1_16,7688,246,23
J17_1_2_16,32786,321,18
J17_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16,212098,1111,9
J17_1_3_4_5_10_15_16_19_20_21,11806,1111,134
J17_2_16,16207,486,65
J17_3_16,22899,1050,261
J17_3_5_14_16,914,59,0
J17_5_16,180932,1874,322
J17_5_6_7_16,15787,331,16
J17_5_8_9_16,86031,1448,517
J17_6_14_16,1014,1111,148
J17_7_8_9_16,1934,18,3
J17_8_14_16,1252,1111,156
J17_8_16,7112,48,0
J17_9_12_14_15_16,1170,127,3
J17_9_16,1399,135,12
J18_11_12_13_14_15_16_17,62587,347,0
J18_13_17,608,8,2
J18_16_17,1312685,2214,290
J18_17_21,1595,124,13
J18_1_17,17667,465,73
J18_1_3_17,1786,38,2
J18_1_3_5_7_8_17,9130,81,8
J18_1_4_5_6_8_11_12_15_16_17_24,7405,193,6
J18_2_3_17,7609,96,36
J18_3_5_6_17,10105,3333,1291
J18_3_6_9_17,2696,44,8
J18_3_7_14_16_17,3632,387,12
J18_6_12_15_16_17,1944,39,0
J18_8_17,1394,135,10
J18_9_17,106442,36963,3382
J19_13_16_17_18,4386,744,28
J19_14_18,19668,221,59
J19_15_16_17_18,9895,222,23
J19_15_18,11521323,35153,3623
J19_16_17_18,10567,444,72
J19_16_18,16884,15,1
J19_17_18,44684,2558,738
J19_1_18,4428,262,13
J19_1_2_3_4_18,3653,171,2
J19_1_2_3_4_5_6_7_8_18,722894,11,2
J19_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18,38382,339,6
J19_1_3_4_5_18,21564,211,1
J19_2_11_12_17_18_23,621,9,0
J19_2_3_4_13_18_24_25_26,1415,941,472
J19_3_15_17_18,40643,4144,437
J19_3_18,573,33,11
J19_4_8_18,1789,1111,677
J19_5_16_18,1147,1111,69
J19_5_6_7_8_17_18,5537,177,4
J19_5_8_9_16_18,1447,1111,332
J19_5_9_18,2389,25,2
J19_6_11_18,3163,12,6
J19_7_10_18,668,3,0
J19_7_18,91263,37098,14205
J19_7_8_9_10_18,2679,1015,48
J19_8_9_10_18,685,28,0
J19_8_9_12,102428,862,95
J1_2_3,894,129,1
J1_2_5,3973,274,0
J1_3_4,188363,1017,144
J1_3_4_7,45924,278,0
J1_3_6,57918,552,278
J1_4_5,658,14,9
J1_4_5_14,745,25,0
